"prefecture_code","prefecture_name","city_code","city_name","town_code","town_name","latitude","longitude","household_id","family_type_id","family_type","num_member","abnormal_household","person_id","age","gender_id","gender","role_household_type_id","role_household_type","industry_type_id","industry_type","employment_type_id","employment_type","company_size_id","company_size","total_income"
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.370968184329627","127.14309997433752","49902669","0","単独世帯","1","0","114467207","24","0","男性","0","単独世帯（男性）","","","","","","",""
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.370092985295873","127.14371694314765","49902670","0","単独世帯","1","0","114467208","25","0","男性","0","単独世帯（男性）","50","Ｅ 製造業","10","一般労働者","10","10～99人","230500"
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.375099169697663","127.14266400171323","49902671","0","単独世帯","1","0","114467209","26","0","男性","0","単独世帯（男性）","190","Ｓ 公務（他に分類されるものを除く）","","","","","0"
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.370478346188754","127.1434463692159","49902672","0","単独世帯","1","0","114467210","26","1","女性","1","単独世帯（女性）","150","Ｏ 教育，学習支援業","10","一般労働者","100","100～999人","217200"
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.372358749999997","127.140777083","49902673","0","単独世帯","1","0","114467211","27","0","男性","0","単独世帯（男性）","170","Ｑ 複合サービス事業","10","一般労働者","1000","1000人以上","175100"
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.370362435290264","127.14541713008573","49902674","0","単独世帯","1","0","114467212","28","0","男性","0","単独世帯（男性）","190","Ｓ 公務（他に分類されるものを除く）","","","","","0"
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.369810469066255","127.14619489215058","49902675","0","単独世帯","1","0","114467213","28","0","男性","0","単独世帯（男性）","160","Ｐ 医療，福祉","10","一般労働者","10","10～99人","158100"
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.370969251602986","127.14283906053555","49902676","0","単独世帯","1","0","114467214","29","0","男性","0","単独世帯（男性）","190","Ｓ 公務（他に分類されるものを除く）","","","","","0"
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.371376355670083","127.14284868915573","49902677","0","単独世帯","1","0","114467215","30","0","男性","0","単独世帯（男性）","40","Ｄ 建設業","10","一般労働者","10","10～99人","234500"
"47","沖縄県","47356","島尻郡渡名喜村","47356001000","","26.370015739774598","127.14321546647079","49902678","0","単独世帯","1","0","114467216","30","1","女性","1","単独世帯（女性）","190","Ｓ 公務（他に分類されるものを除く）","","","","","0"
